"Time Period","Financial Quarter","Location","Age Group","Measure","Value"
"Census Week","2020/21","Aberdeen City","All Ages","Number of People",1870
"Census Week","2020/21","Aberdeen City","All Ages","Number of Hours",27435
"Census Week","2020/21","Aberdeen City","0-17 years","Rate per 1,000 People",0.1
"Census Week","2020/21","Aberdeen City","0-17 years","Number of People",5
"Census Week","2020/21","Aberdeen City","0-17 years","Number of Hours",140
"Census Week","2020/21","Aberdeen City","18-64 years","Rate per 1,000 People",2.3
"Census Week","2020/21","Aberdeen City","18-64 years","Number of People",340
"Census Week","2020/21","Aberdeen City","18-64 years","Number of Hours",12795
"Census Week","2020/21","Aberdeen City","65-74 years","Rate per 1,000 People",13.8
"Census Week","2020/21","Aberdeen City","65-74 years","Number of People",285
"Census Week","2020/21","Aberdeen City","65-74 years","Number of Hours",3020
"Census Week","2020/21","Aberdeen City","75-84 years","Rate per 1,000 People",45.3
"Census Week","2020/21","Aberdeen City","75-84 years","Number of People",525
"Census Week","2020/21","Aberdeen City","75-84 years","Number of Hours",5050
"Census Week","2020/21","Aberdeen City","85+ years","Rate per 1,000 People",148
"Census Week","2020/21","Aberdeen City","85+ years","Number of People",715
"Census Week","2020/21","Aberdeen City","85+ years","Number of Hours",6430
"Census Week","2020/21","Aberdeen City","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Aberdeen City","Unknown","Number of People",0
"Census Week","2020/21","Aberdeen City","Unknown","Number of Hours",0
"Census Week","2020/21","Aberdeenshire","All Ages","Rate per 1,000 People",8.8
"Census Week","2020/21","Aberdeenshire","All Ages","Number of People",2290
"Census Week","2020/21","Aberdeenshire","All Ages","Number of Hours",20340
"Census Week","2020/21","Aberdeenshire","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Aberdeenshire","0-17 years","Number of People",0
"Census Week","2020/21","Aberdeenshire","0-17 years","Number of Hours",0
"Census Week","2020/21","Aberdeenshire","18-64 years","Rate per 1,000 People",2.1
"Census Week","2020/21","Aberdeenshire","18-64 years","Number of People",320
"Census Week","2020/21","Aberdeenshire","18-64 years","Number of Hours",3480
"Census Week","2020/21","Aberdeenshire","65-74 years","Rate per 1,000 People",11.5
"Census Week","2020/21","Aberdeenshire","65-74 years","Number of People",350
"Census Week","2020/21","Aberdeenshire","65-74 years","Number of Hours",3265
"Census Week","2020/21","Aberdeenshire","75-84 years","Rate per 1,000 People",46.2
"Census Week","2020/21","Aberdeenshire","75-84 years","Number of People",760
"Census Week","2020/21","Aberdeenshire","75-84 years","Number of Hours",6370
"Census Week","2020/21","Aberdeenshire","85+ years","Rate per 1,000 People",145.2
"Census Week","2020/21","Aberdeenshire","85+ years","Number of People",860
"Census Week","2020/21","Aberdeenshire","85+ years","Number of Hours",7225
"Census Week","2020/21","Aberdeenshire","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Aberdeenshire","Unknown","Number of People",0
"Census Week","2020/21","Aberdeenshire","Unknown","Number of Hours",0
"Census Week","2020/21","Angus","All Ages","Rate per 1,000 People",11.2
"Census Week","2020/21","Angus","All Ages","Number of People",1285
"Census Week","2020/21","Angus","All Ages","Number of Hours",12165
"Census Week","2020/21","Angus","0-17 years","Rate per 1,000 People",0.2
"Census Week","2020/21","Angus","0-17 years","Number of People",5
"Census Week","2020/21","Angus","0-17 years","Number of Hours",25
"Census Week","2020/21","Angus","18-64 years","Rate per 1,000 People",4.6
"Census Week","2020/21","Angus","18-64 years","Number of People",305
"Census Week","2020/21","Angus","18-64 years","Number of Hours",3600
"Census Week","2020/21","Angus","65-74 years","Rate per 1,000 People",13
"Census Week","2020/21","Angus","65-74 years","Number of People",200
"Census Week","2020/21","Angus","65-74 years","Number of Hours",1875
"Census Week","2020/21","Angus","75-84 years","Rate per 1,000 People",40.7
"Census Week","2020/21","Angus","75-84 years","Number of People",370
"Census Week","2020/21","Angus","75-84 years","Number of Hours",3130
"Census Week","2020/21","Angus","85+ years","Rate per 1,000 People",115.7
"Census Week","2020/21","Angus","85+ years","Number of People",405
"Census Week","2020/21","Angus","85+ years","Number of Hours",3535
"Census Week","2020/21","Angus","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Angus","Unknown","Number of People",0
"Census Week","2020/21","Angus","Unknown","Number of Hours",0
"Census Week","2020/21","Argyll and Bute","All Ages","Rate per 1,000 People",16.6
"Census Week","2020/21","Argyll and Bute","All Ages","Number of People",1445
"Census Week","2020/21","Argyll and Bute","All Ages","Number of Hours",22235
"Census Week","2020/21","Argyll and Bute","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Argyll and Bute","0-17 years","Number of People",0
"Census Week","2020/21","Argyll and Bute","0-17 years","Number of Hours",0
"Census Week","2020/21","Argyll and Bute","18-64 years","Rate per 1,000 People",6.5
"Census Week","2020/21","Argyll and Bute","18-64 years","Number of People",325
"Census Week","2020/21","Argyll and Bute","18-64 years","Number of Hours",9605
"Census Week","2020/21","Argyll and Bute","65-74 years","Rate per 1,000 People",17
"Census Week","2020/21","Argyll and Bute","65-74 years","Number of People",215
"Census Week","2020/21","Argyll and Bute","65-74 years","Number of Hours",3520
"Census Week","2020/21","Argyll and Bute","75-84 years","Rate per 1,000 People",56
"Census Week","2020/21","Argyll and Bute","75-84 years","Number of People",415
"Census Week","2020/21","Argyll and Bute","75-84 years","Number of Hours",4145
"Census Week","2020/21","Argyll and Bute","85+ years","Rate per 1,000 People",185
"Census Week","2020/21","Argyll and Bute","85+ years","Number of People",490
"Census Week","2020/21","Argyll and Bute","85+ years","Number of Hours",4965
"Census Week","2020/21","Argyll and Bute","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Argyll and Bute","Unknown","Number of People",0
"Census Week","2020/21","Argyll and Bute","Unknown","Number of Hours",0
"Census Week","2020/21","City of Edinburgh","All Ages","Rate per 1,000 People",10.1
"Census Week","2020/21","City of Edinburgh","All Ages","Number of People",5145
"Census Week","2020/21","City of Edinburgh","All Ages","Number of Hours",95490
"Census Week","2020/21","City of Edinburgh","0-17 years","Rate per 1,000 People",0.1
"Census Week","2020/21","City of Edinburgh","0-17 years","Number of People",5
"Census Week","2020/21","City of Edinburgh","0-17 years","Number of Hours",65
"Census Week","2020/21","City of Edinburgh","18-64 years","Rate per 1,000 People",5.1
"Census Week","2020/21","City of Edinburgh","18-64 years","Number of People",1735
"Census Week","2020/21","City of Edinburgh","18-64 years","Number of Hours",45440
"Census Week","2020/21","City of Edinburgh","65-74 years","Rate per 1,000 People",16.9
"Census Week","2020/21","City of Edinburgh","65-74 years","Number of People",735
"Census Week","2020/21","City of Edinburgh","65-74 years","Number of Hours",13810
"Census Week","2020/21","City of Edinburgh","75-84 years","Rate per 1,000 People",46.9
"Census Week","2020/21","City of Edinburgh","75-84 years","Number of People",1175
"Census Week","2020/21","City of Edinburgh","75-84 years","Number of Hours",15535
"Census Week","2020/21","City of Edinburgh","85+ years","Rate per 1,000 People",131.3
"Census Week","2020/21","City of Edinburgh","85+ years","Number of People",1495
"Census Week","2020/21","City of Edinburgh","85+ years","Number of Hours",20640
"Census Week","2020/21","City of Edinburgh","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","City of Edinburgh","Unknown","Number of People",0
"Census Week","2020/21","City of Edinburgh","Unknown","Number of Hours",0
"Census Week","2020/21","Clackmannanshire","All Ages","Rate per 1,000 People",15.6
"Census Week","2020/21","Clackmannanshire","All Ages","Number of People",800
"Census Week","2020/21","Clackmannanshire","All Ages","Number of Hours",11940
"Census Week","2020/21","Clackmannanshire","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Clackmannanshire","0-17 years","Number of People",0
"Census Week","2020/21","Clackmannanshire","0-17 years","Number of Hours",25
"Census Week","2020/21","Clackmannanshire","18-64 years","Rate per 1,000 People",7.3
"Census Week","2020/21","Clackmannanshire","18-64 years","Number of People",225
"Census Week","2020/21","Clackmannanshire","18-64 years","Number of Hours",6295
"Census Week","2020/21","Clackmannanshire","65-74 years","Rate per 1,000 People",20.1
"Census Week","2020/21","Clackmannanshire","65-74 years","Number of People",125
"Census Week","2020/21","Clackmannanshire","65-74 years","Number of Hours",1465
"Census Week","2020/21","Clackmannanshire","75-84 years","Rate per 1,000 People",71.2
"Census Week","2020/21","Clackmannanshire","75-84 years","Number of People",240
"Census Week","2020/21","Clackmannanshire","75-84 years","Number of Hours",2235
"Census Week","2020/21","Clackmannanshire","85+ years","Rate per 1,000 People",214.5
"Census Week","2020/21","Clackmannanshire","85+ years","Number of People",210
"Census Week","2020/21","Clackmannanshire","85+ years","Number of Hours",1920
"Census Week","2020/21","Clackmannanshire","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Clackmannanshire","Unknown","Number of People",0
"Census Week","2020/21","Clackmannanshire","Unknown","Number of Hours",0
"Census Week","2020/21","Comhairle nan Eilean Siar","All Ages","Rate per 1,000 People",12.3
"Census Week","2020/21","Comhairle nan Eilean Siar","All Ages","Number of People",320
"Census Week","2020/21","Comhairle nan Eilean Siar","All Ages","Number of Hours",1835
"Census Week","2020/21","Comhairle nan Eilean Siar","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Comhairle nan Eilean Siar","0-17 years","Number of People",0
"Census Week","2020/21","Comhairle nan Eilean Siar","0-17 years","Number of Hours",0
"Census Week","2020/21","Comhairle nan Eilean Siar","18-64 years","Rate per 1,000 People",3.1
"Census Week","2020/21","Comhairle nan Eilean Siar","18-64 years","Number of People",45
"Census Week","2020/21","Comhairle nan Eilean Siar","18-64 years","Number of Hours",255
"Census Week","2020/21","Comhairle nan Eilean Siar","65-74 years","Rate per 1,000 People",17.5
"Census Week","2020/21","Comhairle nan Eilean Siar","65-74 years","Number of People",65
"Census Week","2020/21","Comhairle nan Eilean Siar","65-74 years","Number of Hours",410
"Census Week","2020/21","Comhairle nan Eilean Siar","75-84 years","Rate per 1,000 People",42.1
"Census Week","2020/21","Comhairle nan Eilean Siar","75-84 years","Number of People",95
"Census Week","2020/21","Comhairle nan Eilean Siar","75-84 years","Number of Hours",520
"Census Week","2020/21","Comhairle nan Eilean Siar","85+ years","Rate per 1,000 People",130.4
"Census Week","2020/21","Comhairle nan Eilean Siar","85+ years","Number of People",115
"Census Week","2020/21","Comhairle nan Eilean Siar","85+ years","Number of Hours",650
"Census Week","2020/21","Comhairle nan Eilean Siar","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Comhairle nan Eilean Siar","Unknown","Number of People",0
"Census Week","2020/21","Comhairle nan Eilean Siar","Unknown","Number of Hours",0
"Census Week","2020/21","Dumfries and Galloway","All Ages","Rate per 1,000 People",15.2
"Census Week","2020/21","Dumfries and Galloway","All Ages","Number of People",2215
"Census Week","2020/21","Dumfries and Galloway","All Ages","Number of Hours",53625
"Census Week","2020/21","Dumfries and Galloway","0-17 years","Rate per 1,000 People",1
"Census Week","2020/21","Dumfries and Galloway","0-17 years","Number of People",25
"Census Week","2020/21","Dumfries and Galloway","0-17 years","Number of Hours",515
"Census Week","2020/21","Dumfries and Galloway","18-64 years","Rate per 1,000 People",8.1
"Census Week","2020/21","Dumfries and Galloway","18-64 years","Number of People",665
"Census Week","2020/21","Dumfries and Galloway","18-64 years","Number of Hours",35995
"Census Week","2020/21","Dumfries and Galloway","65-74 years","Rate per 1,000 People",15.8
"Census Week","2020/21","Dumfries and Galloway","65-74 years","Number of People",335
"Census Week","2020/21","Dumfries and Galloway","65-74 years","Number of Hours",5505
"Census Week","2020/21","Dumfries and Galloway","75-84 years","Rate per 1,000 People",44.6
"Census Week","2020/21","Dumfries and Galloway","75-84 years","Number of People",580
"Census Week","2020/21","Dumfries and Galloway","75-84 years","Number of Hours",5510
"Census Week","2020/21","Dumfries and Galloway","85+ years","Rate per 1,000 People",130.3
"Census Week","2020/21","Dumfries and Galloway","85+ years","Number of People",610
"Census Week","2020/21","Dumfries and Galloway","85+ years","Number of Hours",6100
"Census Week","2020/21","Dumfries and Galloway","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Dumfries and Galloway","Unknown","Number of People",0
"Census Week","2020/21","Dumfries and Galloway","Unknown","Number of Hours",0
"Census Week","2020/21","Dundee City","All Ages","Rate per 1,000 People",12
"Census Week","2020/21","Dundee City","All Ages","Number of People",1780
"Census Week","2020/21","Dundee City","All Ages","Number of Hours",18755
"Census Week","2020/21","Dundee City","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Dundee City","0-17 years","Number of People",0
"Census Week","2020/21","Dundee City","0-17 years","Number of Hours",0
"Census Week","2020/21","Dundee City","18-64 years","Rate per 1,000 People",3.4
"Census Week","2020/21","Dundee City","18-64 years","Number of People",320
"Census Week","2020/21","Dundee City","18-64 years","Number of Hours",4165
"Census Week","2020/21","Dundee City","65-74 years","Rate per 1,000 People",21.8
"Census Week","2020/21","Dundee City","65-74 years","Number of People",310
"Census Week","2020/21","Dundee City","65-74 years","Number of Hours",2885
"Census Week","2020/21","Dundee City","75-84 years","Rate per 1,000 People",63.3
"Census Week","2020/21","Dundee City","75-84 years","Number of People",540
"Census Week","2020/21","Dundee City","75-84 years","Number of Hours",5380
"Census Week","2020/21","Dundee City","85+ years","Rate per 1,000 People",165.9
"Census Week","2020/21","Dundee City","85+ years","Number of People",610
"Census Week","2020/21","Dundee City","85+ years","Number of Hours",6325
"Census Week","2020/21","Dundee City","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Dundee City","Unknown","Number of People",0
"Census Week","2020/21","Dundee City","Unknown","Number of Hours",0
"Census Week","2020/21","East Ayrshire","All Ages","Rate per 1,000 People",13.9
"Census Week","2020/21","East Ayrshire","All Ages","Number of People",1670
"Census Week","2020/21","East Ayrshire","All Ages","Number of Hours",16005
"Census Week","2020/21","East Ayrshire","0-17 years","Rate per 1,000 People",7.3
"Census Week","2020/21","East Ayrshire","0-17 years","Number of People",170
"Census Week","2020/21","East Ayrshire","0-17 years","Number of Hours",1435
"Census Week","2020/21","East Ayrshire","18-64 years","Rate per 1,000 People",7.6
"Census Week","2020/21","East Ayrshire","18-64 years","Number of People",550
"Census Week","2020/21","East Ayrshire","18-64 years","Number of Hours",7480
"Census Week","2020/21","East Ayrshire","65-74 years","Rate per 1,000 People",13.6
"Census Week","2020/21","East Ayrshire","65-74 years","Number of People",195
"Census Week","2020/21","East Ayrshire","65-74 years","Number of Hours",1445
"Census Week","2020/21","East Ayrshire","75-84 years","Rate per 1,000 People",44.3
"Census Week","2020/21","East Ayrshire","75-84 years","Number of People",360
"Census Week","2020/21","East Ayrshire","75-84 years","Number of Hours",2605
"Census Week","2020/21","East Ayrshire","85+ years","Rate per 1,000 People",148.6
"Census Week","2020/21","East Ayrshire","85+ years","Number of People",395
"Census Week","2020/21","East Ayrshire","85+ years","Number of Hours",3040
"Census Week","2020/21","East Ayrshire","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","East Ayrshire","Unknown","Number of People",0
"Census Week","2020/21","East Ayrshire","Unknown","Number of Hours",0
"Census Week","2020/21","East Dunbartonshire","All Ages","Rate per 1,000 People",11.3
"Census Week","2020/21","East Dunbartonshire","All Ages","Number of People",1235
"Census Week","2020/21","East Dunbartonshire","All Ages","Number of Hours",10910
"Census Week","2020/21","East Dunbartonshire","0-17 years","Rate per 1,000 People",0.9
"Census Week","2020/21","East Dunbartonshire","0-17 years","Number of People",20
"Census Week","2020/21","East Dunbartonshire","0-17 years","Number of Hours",265
"Census Week","2020/21","East Dunbartonshire","18-64 years","Rate per 1,000 People",1.8
"Census Week","2020/21","East Dunbartonshire","18-64 years","Number of People",110
"Census Week","2020/21","East Dunbartonshire","18-64 years","Number of Hours",1390
"Census Week","2020/21","East Dunbartonshire","65-74 years","Rate per 1,000 People",11.3
"Census Week","2020/21","East Dunbartonshire","65-74 years","Number of People",150
"Census Week","2020/21","East Dunbartonshire","65-74 years","Number of Hours",1285
"Census Week","2020/21","East Dunbartonshire","75-84 years","Rate per 1,000 People",50.2
"Census Week","2020/21","East Dunbartonshire","75-84 years","Number of People",430
"Census Week","2020/21","East Dunbartonshire","75-84 years","Number of Hours",3530
"Census Week","2020/21","East Dunbartonshire","85+ years","Rate per 1,000 People",151.9
"Census Week","2020/21","East Dunbartonshire","85+ years","Number of People",525
"Census Week","2020/21","East Dunbartonshire","85+ years","Number of Hours",4440
"Census Week","2020/21","East Dunbartonshire","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","East Dunbartonshire","Unknown","Number of People",0
"Census Week","2020/21","East Dunbartonshire","Unknown","Number of Hours",0
"Census Week","2020/21","East Lothian","All Ages","Rate per 1,000 People",11.6
"Census Week","2020/21","East Lothian","All Ages","Number of People",1265
"Census Week","2020/21","East Lothian","All Ages","Number of Hours",21170
"Census Week","2020/21","East Lothian","0-17 years","Rate per 1,000 People",0.2
"Census Week","2020/21","East Lothian","0-17 years","Number of People",5
"Census Week","2020/21","East Lothian","0-17 years","Number of Hours",45
"Census Week","2020/21","East Lothian","18-64 years","Rate per 1,000 People",5.9
"Census Week","2020/21","East Lothian","18-64 years","Number of People",380
"Census Week","2020/21","East Lothian","18-64 years","Number of Hours",11940
"Census Week","2020/21","East Lothian","65-74 years","Rate per 1,000 People",14.3
"Census Week","2020/21","East Lothian","65-74 years","Number of People",175
"Census Week","2020/21","East Lothian","65-74 years","Number of Hours",2915
"Census Week","2020/21","East Lothian","75-84 years","Rate per 1,000 People",43
"Census Week","2020/21","East Lothian","75-84 years","Number of People",320
"Census Week","2020/21","East Lothian","75-84 years","Number of Hours",2805
"Census Week","2020/21","East Lothian","85+ years","Rate per 1,000 People",140.5
"Census Week","2020/21","East Lothian","85+ years","Number of People",385
"Census Week","2020/21","East Lothian","85+ years","Number of Hours",3465
"Census Week","2020/21","East Lothian","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","East Lothian","Unknown","Number of People",0
"Census Week","2020/21","East Lothian","Unknown","Number of Hours",0
"Census Week","2020/21","East Renfrewshire","All Ages","Rate per 1,000 People",12.4
"Census Week","2020/21","East Renfrewshire","All Ages","Number of People",1190
"Census Week","2020/21","East Renfrewshire","All Ages","Number of Hours",10240
"Census Week","2020/21","East Renfrewshire","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","East Renfrewshire","0-17 years","Number of People",0
"Census Week","2020/21","East Renfrewshire","0-17 years","Number of Hours",0
"Census Week","2020/21","East Renfrewshire","18-64 years","Rate per 1,000 People",2.5
"Census Week","2020/21","East Renfrewshire","18-64 years","Number of People",135
"Census Week","2020/21","East Renfrewshire","18-64 years","Number of Hours",1790
"Census Week","2020/21","East Renfrewshire","65-74 years","Rate per 1,000 People",14.7
"Census Week","2020/21","East Renfrewshire","65-74 years","Number of People",155
"Census Week","2020/21","East Renfrewshire","65-74 years","Number of Hours",1635
"Census Week","2020/21","East Renfrewshire","75-84 years","Rate per 1,000 People",55.6
"Census Week","2020/21","East Renfrewshire","75-84 years","Number of People",370
"Census Week","2020/21","East Renfrewshire","75-84 years","Number of Hours",2810
"Census Week","2020/21","East Renfrewshire","85+ years","Rate per 1,000 People",183.6
"Census Week","2020/21","East Renfrewshire","85+ years","Number of People",530
"Census Week","2020/21","East Renfrewshire","85+ years","Number of Hours",4005
"Census Week","2020/21","East Renfrewshire","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","East Renfrewshire","Unknown","Number of People",0
"Census Week","2020/21","East Renfrewshire","Unknown","Number of Hours",0
"Census Week","2020/21","Falkirk","All Ages","Rate per 1,000 People",11.1
"Census Week","2020/21","Falkirk","All Ages","Number of People",1760
"Census Week","2020/21","Falkirk","All Ages","Number of Hours",12880
"Census Week","2020/21","Falkirk","0-17 years","Rate per 1,000 People",0.3
"Census Week","2020/21","Falkirk","0-17 years","Number of People",10
"Census Week","2020/21","Falkirk","0-17 years","Number of Hours",65
"Census Week","2020/21","Falkirk","18-64 years","Rate per 1,000 People",2.2
"Census Week","2020/21","Falkirk","18-64 years","Number of People",215
"Census Week","2020/21","Falkirk","18-64 years","Number of Hours",1600
"Census Week","2020/21","Falkirk","65-74 years","Rate per 1,000 People",16.5
"Census Week","2020/21","Falkirk","65-74 years","Number of People",285
"Census Week","2020/21","Falkirk","65-74 years","Number of Hours",2065
"Census Week","2020/21","Falkirk","75-84 years","Rate per 1,000 People",60.3
"Census Week","2020/21","Falkirk","75-84 years","Number of People",590
"Census Week","2020/21","Falkirk","75-84 years","Number of Hours",4145
"Census Week","2020/21","Falkirk","85+ years","Rate per 1,000 People",196.7
"Census Week","2020/21","Falkirk","85+ years","Number of People",660
"Census Week","2020/21","Falkirk","85+ years","Number of Hours",5005
"Census Week","2020/21","Falkirk","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Falkirk","Unknown","Number of People",0
"Census Week","2020/21","Falkirk","Unknown","Number of Hours",0
"Census Week","2020/21","Fife","All Ages","Rate per 1,000 People",9.1
"Census Week","2020/21","Fife","All Ages","Number of People",3385
"Census Week","2020/21","Fife","All Ages","Number of Hours",35245
"Census Week","2020/21","Fife","0-17 years","Rate per 1,000 People",0.1
"Census Week","2020/21","Fife","0-17 years","Number of People",10
"Census Week","2020/21","Fife","0-17 years","Number of Hours",140
"Census Week","2020/21","Fife","18-64 years","Rate per 1,000 People",3.8
"Census Week","2020/21","Fife","18-64 years","Number of People",850
"Census Week","2020/21","Fife","18-64 years","Number of Hours",12115
"Census Week","2020/21","Fife","65-74 years","Rate per 1,000 People",12
"Census Week","2020/21","Fife","65-74 years","Number of People",525
"Census Week","2020/21","Fife","65-74 years","Number of Hours",5140
"Census Week","2020/21","Fife","75-84 years","Rate per 1,000 People",37.9
"Census Week","2020/21","Fife","75-84 years","Number of People",960
"Census Week","2020/21","Fife","75-84 years","Number of Hours",8815
"Census Week","2020/21","Fife","85+ years","Rate per 1,000 People",113.7
"Census Week","2020/21","Fife","85+ years","Number of People",1040
"Census Week","2020/21","Fife","85+ years","Number of Hours",9035
"Census Week","2020/21","Fife","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Fife","Unknown","Number of People",0
"Census Week","2020/21","Fife","Unknown","Number of Hours",0
"Census Week","2020/21","Glasgow City","All Ages","Rate per 1,000 People",8.4
"Census Week","2020/21","Glasgow City","All Ages","Number of People",5185
"Census Week","2020/21","Glasgow City","All Ages","Number of Hours",46575
"Census Week","2020/21","Glasgow City","0-17 years","Rate per 1,000 People",0.1
"Census Week","2020/21","Glasgow City","0-17 years","Number of People",10
"Census Week","2020/21","Glasgow City","0-17 years","Number of Hours",50
"Census Week","2020/21","Glasgow City","18-64 years","Rate per 1,000 People",1.5
"Census Week","2020/21","Glasgow City","18-64 years","Number of People",630
"Census Week","2020/21","Glasgow City","18-64 years","Number of Hours",4870
"Census Week","2020/21","Glasgow City","65-74 years","Rate per 1,000 People",18.7
"Census Week","2020/21","Glasgow City","65-74 years","Number of People",905
"Census Week","2020/21","Glasgow City","65-74 years","Number of Hours",7795
"Census Week","2020/21","Glasgow City","75-84 years","Rate per 1,000 People",69
"Census Week","2020/21","Glasgow City","75-84 years","Number of People",1815
"Census Week","2020/21","Glasgow City","75-84 years","Number of Hours",16495
"Census Week","2020/21","Glasgow City","85+ years","Rate per 1,000 People",172.5
"Census Week","2020/21","Glasgow City","85+ years","Number of People",1825
"Census Week","2020/21","Glasgow City","85+ years","Number of Hours",17365
"Census Week","2020/21","Glasgow City","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Glasgow City","Unknown","Number of People",0
"Census Week","2020/21","Glasgow City","Unknown","Number of Hours",0
"Census Week","2020/21","Highland","All Ages","Rate per 1,000 People",8.8
"Census Week","2020/21","Highland","All Ages","Number of People",2060
"Census Week","2020/21","Highland","All Ages","Number of Hours",16345
"Census Week","2020/21","Highland","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Highland","0-17 years","Number of People",0
"Census Week","2020/21","Highland","0-17 years","Number of Hours",0
"Census Week","2020/21","Highland","18-64 years","Rate per 1,000 People",1.6
"Census Week","2020/21","Highland","18-64 years","Number of People",220
"Census Week","2020/21","Highland","18-64 years","Number of Hours",1955
"Census Week","2020/21","Highland","65-74 years","Rate per 1,000 People",10.7
"Census Week","2020/21","Highland","65-74 years","Number of People",325
"Census Week","2020/21","Highland","65-74 years","Number of Hours",2725
"Census Week","2020/21","Highland","75-84 years","Rate per 1,000 People",38.6
"Census Week","2020/21","Highland","75-84 years","Number of People",665
"Census Week","2020/21","Highland","75-84 years","Number of Hours",5110
"Census Week","2020/21","Highland","85+ years","Rate per 1,000 People",134
"Census Week","2020/21","Highland","85+ years","Number of People",850
"Census Week","2020/21","Highland","85+ years","Number of Hours",6555
"Census Week","2020/21","Highland","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Highland","Unknown","Number of People",0
"Census Week","2020/21","Highland","Unknown","Number of Hours",0
"Census Week","2020/21","Inverclyde","All Ages","Rate per 1,000 People",14.8
"Census Week","2020/21","Inverclyde","All Ages","Number of People",1165
"Census Week","2020/21","Inverclyde","All Ages","Number of Hours",6365
"Census Week","2020/21","Inverclyde","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Inverclyde","0-17 years","Number of People",0
"Census Week","2020/21","Inverclyde","0-17 years","Number of Hours",0
"Census Week","2020/21","Inverclyde","18-64 years","Rate per 1,000 People",2.6
"Census Week","2020/21","Inverclyde","18-64 years","Number of People",125
"Census Week","2020/21","Inverclyde","18-64 years","Number of Hours",765
"Census Week","2020/21","Inverclyde","65-74 years","Rate per 1,000 People",22.8
"Census Week","2020/21","Inverclyde","65-74 years","Number of People",215
"Census Week","2020/21","Inverclyde","65-74 years","Number of Hours",1015
"Census Week","2020/21","Inverclyde","75-84 years","Rate per 1,000 People",76.3
"Census Week","2020/21","Inverclyde","75-84 years","Number of People",425
"Census Week","2020/21","Inverclyde","75-84 years","Number of Hours",2345
"Census Week","2020/21","Inverclyde","85+ years","Rate per 1,000 People",198.7
"Census Week","2020/21","Inverclyde","85+ years","Number of People",400
"Census Week","2020/21","Inverclyde","85+ years","Number of Hours",2240
"Census Week","2020/21","Inverclyde","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Inverclyde","Unknown","Number of People",0
"Census Week","2020/21","Inverclyde","Unknown","Number of Hours",0
"Census Week","2020/21","Midlothian","All Ages","Rate per 1,000 People",9.1
"Census Week","2020/21","Midlothian","All Ages","Number of People",860
"Census Week","2020/21","Midlothian","All Ages","Number of Hours",15205
"Census Week","2020/21","Midlothian","0-17 years","Rate per 1,000 People",0
"Census Week","2020/21","Midlothian","0-17 years","Number of People",0
"Census Week","2020/21","Midlothian","0-17 years","Number of Hours",0
"Census Week","2020/21","Midlothian","18-64 years","Rate per 1,000 People",4.6
"Census Week","2020/21","Midlothian","18-64 years","Number of People",260
"Census Week","2020/21","Midlothian","18-64 years","Number of Hours",8680
"Census Week","2020/21","Midlothian","65-74 years","Rate per 1,000 People",16.1
"Census Week","2020/21","Midlothian","65-74 years","Number of People",165
"Census Week","2020/21","Midlothian","65-74 years","Number of Hours",2035
"Census Week","2020/21","Midlothian","75-84 years","Rate per 1,000 People",40.5
"Census Week","2020/21","Midlothian","75-84 years","Number of People",230
"Census Week","2020/21","Midlothian","75-84 years","Number of Hours",2400
"Census Week","2020/21","Midlothian","85+ years","Rate per 1,000 People",110.1
"Census Week","2020/21","Midlothian","85+ years","Number of People",205
"Census Week","2020/21","Midlothian","85+ years","Number of Hours",2090
"Census Week","2020/21","Midlothian","Unknown","Rate per 1,000 People",0
"Census Week","2020/21","Midlothian","Unknown","Number of People",0
"Census Week","2020/21","Midlothian","Unknown","Number of Hours",0
"Census Week","2020/21","Moray","All Ages","Rate per 1,000 People",10.7
"Census Week","2020/21","Moray","All Ages","Number of People",1005
"Census Week","2020/21","Moray","All Ages","Number of Hours",15705
"Census Week","2020/21","Moray","0-17 years","Rate per 1,000 People",0
